,YEAR,BA_HGLW_JOBS,BB_LGLW_JOBS,BC_HGHW_JOBS,BD_LGHW_JOBS,QA_HGLW_JOBS,QB_LGLW_JOBS,QC_HGHW_JOBS,QD_LGHW_JOBS,Toll_A_peak,Toll_B_peak,Toll_C_peak,Toll_D_peak,February_sv,March_sv,April_sv,May_sv,June_sv,July_sv,August_sv,September_sv,October_sv,November_sv,December_sv,BrooklynBridge_cv,ManhattanBridge_cv,WilliamsburgBridge_cv,HenryHudsonBridge_cv,HughL.CareyTunnel_cv,QueensMidtownTunnel_cv,RFKBridge-BronxPlaza_cv,RFKBridge-ManhattanPlaza_cv,MTA_CorssingType
40,2060,1196875,1085164,1223115,1101451,951149,867766,978886,882609,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2061,1203657,1088907,1230216,1105385,956143,870578,983893,885255,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2062,1210183,1092629,1237076,1109623,961476,873605,988932,887809,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2063,1216703,1096831,1244009,1113755,966536,876058,993952,890404,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2064,1223346,1100775,1251003,1117936,971586,878763,998830,893337,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2065,1229881,1104837,1258345,1122261,976647,881371,1003775,896156,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2066,1236927,1108867,1265578,1126881,981674,883995,1008572,898789,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2067,1243967,1112803,1272845,1130842,986582,886907,1013648,901452,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2068,1250806,1116873,1280116,1135122,991657,889854,1018777,904316,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2069,1257323,1121063,1287241,1139309,996848,892577,1024122,906971,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2070,1264008,1125157,1294591,1143551,1001561,895297,1029562,909570,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
